id,field_id,titel_autor,rasignatur,volltext,unique_key,file,field
6170,615.0,REICHSVERSICHERUNGS-,6240,Reichsversicherungsrecht Reichsversicherungsgesetz mit Arbeiterrentenversicherungsgesetz Sozialgesetzbuch und Handwerkerversicherungsgesetz Textausgabe mit ausführlichem Sachregister und einer Einführung von Heinz Ströer 7A,6240REICHSVERSICHERUNGS-tröer. 7.A,chunk_7,
6171,616.0,REICHSVERSICHERUNGSORDNUNG,6214,Reichsversicherungsordnung Reichsversicherungsordnung rait Arbeiterrentenversicherung Neuregelungsgesetz Sozialgesetzbuch und Handwerker versicherungsrecht Textausgabe mit ausführlichem Sachregister und einer Einführung von Heinz Ströer 4 Auflage,6214REICHSVERSICHERUNGSORDNUNG. Auf läge,chunk_7,
6172,617.0,REICHSVERSICHERUNGSORDNUNG,71006,Reichsversicherungsschutzordnung für Heeresversicherung netost Einführungsgesetz Textausgabe München C. H. Seek 1911 XVII 474 S V 880,71006REICHSVERSICHERUNGSORDNUNGS.) V 880 ,chunk_7,
6173,618.0,REICHWEIN,,Reichwein Heinz Reichwein Heinz. Über die Schuld im Recht Ein Versuch ihre immanenten Prinzipien darzustellen Solothurn Gassmann 1943 1575 S 1945 4408,HEINZREICHWEIN(Dr.iur.) ,chunk_7,
6174,619.0,REID,,Reid Glenn G. Reid Glen a C. PostScript language program design Adobe Systems Incorporated 3rd printing Reading MA Addison Wesley Publishing Company Inc. 1988 24 cm XII 224 S. 27237,GLENN C.REID  P 27237 ,chunk_7,
6175,620.0,REIERSON,97207,Reierson Roy L O. Reierson Roy L. The question of international liquidity. New York: Bankers Trust Company 1965. 48 p. G 842,97207ROY L.REIERSONp.) G 842 ,chunk_7,
6176,601.0,MITTEILUNGEN,313,Mitteilungen 313 Mitteilungen der Schweizerischen Lebensversicherungs- und Rentenanstalt in Zürich Nr. 1 1925 ff. Zürich 1925,313MITTEILUNGENch 1925 - ,chunk_6,
6177,602.0,MITTEILUNGEN,7400,Mitte im Juli Mitteilungen der Schweizerischen Verrechnungsstelle Communications de l’Office suisse de compensation Comunicazioni dell’Ufficio svizzero di compensazione Band 11949 10195859 Zürich 1949 1959,7400MITTEILUNGEN949-1959- ,chunk_6,
6178,603.0,MITTEILUNGEN,170,Mitteilungen 10 Mitteilungen der Vereinigung schweizerischer Versicherungsmathematiker Heft 1 1906 ff Bern Stampfli Cie 1906,170MITTEILUNGEN.   1906- ,chunk_6,
6179,604.0,MITTEILUNGEN,2849,Mitteilungen Mitteilungen des Interkantonalen Verbands für Personalfürsorge Verein Schweizerischer Fürsorgeeinrichtungen Nr. 12 ff Personalfürsorge Personalvorsorge Diverse Titeländerungen s oben Bern 1955 21 cm,2849MITTEILUNGEN55-	-21cm ,chunk_6,
