id,field_id,titel_autor,rasignatur,volltext,unique_key,file,field
11622,1152.0,WALLINGER,81960,81960 Wallinger Studer HR Die direkte Besteuerung der Lebensversicherungnehmer,81960WALLINGER nehraer. ,chunk_9,
11623,1153.0,WALLINGER,81961,81961 Wallinger Hindermann Walter E Gygax Eduard Leitfaden für Geschäftsübertragungen,81961WALLINGERragungen. ,chunk_9,
11624,1154.0,WALLINGER,81972,S 972 Wallinger Jüngersberg Martin Die steuerliche Planung in der Unternehmung,"81972WALLINGERrnehmung, ",chunk_9,
11625,1155.0,WALLINGER,81973,1873 Wallinger Grass Josias Die Praxis der Steuerrekurskommission Graubünden 1945 1957,81973WALLINGER5-1957... ,chunk_9,
11626,1156.0,WALLINGER,81993,81995 Wallinger Lutz K. Zürcher Steuergesetze Band I,81993WALLINGER. Band I. ,chunk_9,
11627,1157.0,WALLINGER,81994,61994 Wallinger Manes Alfred Versicherungslexikon 2 Bände,81994WALLINGER 2 Bände. ,chunk_9,
11628,1158.0,WALLINGER,82000,82000 Wallinger Wespi Rudolf Die Steuerrechtepflege im Kanton Zürich,"82000WALLINGERn Zürich, ",chunk_9,
11629,1159.0,WALLINGER,82022,82022 Wallinger Lutz K Zürcher Steuerge-setzeband I,82022WALLINGER. Band I. ,chunk_9,
11630,1160.0,WALLINGER,82027,82 027 Wallinger Meyer Ibold Einkommen- und Körperschaftsteuergesetz 1950,82027WALLINGER 1950 ... ,chunk_9,
11631,1151.0,MURRAY,82642,Murray Donald X Murray Donald X Successful profit sharing plans Theory and practice Second printing Chicago Illinois Council of Profit Sharing Industries 1968 8° VIII 157 p 10589,82642DONALD X.MURRAY57 p.10589,chunk_6,
11632,1152.0,MURRAY,5104/8, Murray Roger F. The outlook for money rates and fixed income securities An address given at the Annual Meeting of the Boston Security Analysts Society on June 4 1955 New York 1953 9 Vice President,5104/8ROGER FMURRAYPresident),chunk_6,
11633,1153.0,MUSEUM,,Museum Münchner deutsche von Meisterwerken der Naturwissenschaft und Technik München Amtlicher Führer durch die Sammlungen 24 Mit 150 Abbildungen Plänen München Knorr Hirth 1928 XVI 448 S.,"MUSEUMVI,448 S.Î",chunk_6,
11634,1154.0,MUSEUM,98178,"Museum, das rätische Ein Spiegel von Bündner Kultur und Geschichte 24 Abhandlungen mit 469 Abbildungen 158 Phototafeln und 2 Karten Zusammenfassungen in Romanisch Italienisch Französisch Englisch Text und Bildredaktion Hans Erb Hrsg. von de",98178MUSEUMrsg.von de,chunk_6,
11635,1155.0,MUSEUMSGESELLSCHAFT,91491,MuseumsGesellschaft Museumsgesellschaft Zürcher Lesesaal und Bibliothek Festschrift zur Wiedereröffnung des umgebauten Gesellschaftshauses am 12. Dezember 1966 Zürich 1966 21 cm 41 S ill,91491MUSEUMSGESELLSCHAFT41 S. ill.,chunk_6,
11636,1156.0,MUSEUMSGESELLSCHAFT,ORD 64,Museumsgesellschaft Zürich E.4 Museumsgesellschaft Zürcher Lesesaal und Bibliothek NZZ 1965 Nr 147,"ORD 64MUSEUMSGESELLSCHAFT, Nr.2147.",chunk_6,
11637,1157.0,MUSSARD,,Mussard Jean. Mussard Jean. Finanzielle und wirtschaftliche Landesverteidigung. Schaffhausen: Unionsdruckerei AG 1941. 87 S. 19413269 ™,"JEANMUSSARD41,3269.	™",chunk_6,
11638,1158.0,MUSSFELD,5084,TOMussfeld R. Was ist Handelserbrauch im Bank- und Börsenwesen? Eine Sammlung amtlicher Gutachten. Berlin: VerlagsBörsen u. Finanzliteratur AG 1931. 1908 1957 W. Sr.,5084RMUSSFELD57	W (Sr.),chunk_6,
11639,1159.0,MUSSLI,,Mussil Edgars Tarifvertrag für das private Versicherungsgewerbe,EDGARMUSSLIngsgewerbe,chunk_6,
11640,1160.0,MUSSO (VG),86458,86458 Musso 7 VG Duden Rechtschreibung 20. Auflage Mannheim Dudenverlag 1991 20832 S,86458V.MUSSO (VG)20.832 S. ,chunk_6,
11641,1181.0,HOLZWART,,Holzwart Ursula s Haari Roland HU 1 Vorbereitungskurse auf die Pensionierung im Test,URSULAHOLZWARTest   ... ,chunk_4,
11642,1182.0,HOMANN,,Homan W. B. Vertreter-Auskunftsführer 1955,WHOMANN..	(1955- ,chunk_4,
11643,1183.0,HOMBERGER,,"Homberger A Hornberger A. Das Sachenrecht. Dritte Abteilung Besitz und Grundbuch. Art. 919. 977. 2 A. Kommentar zum Schweizerischen Zivilgesetzbuch Bd. IV. 3 Zürich: Schulthess 1938. VIII, 479 S. 624",AHOMBERGER          ,chunk_4,
11644,1184.0,HOMBERGER,1019,Hornberger A. Homberger A. Das Schweizerische Zivilgesetzbuch. Zürich: Polygraphischer Verlag AG 1933. 178 S. 2075,1019AHOMBERGERS.) 2075. ,chunk_4,
11645,1185.0,HOMBERGER,12138,Hornberger » Hans Ulrich t f3 Hornberger Hans Ulrich Art 91 BV Die Mitglieder beider Räte stimmen ohne Instruktionen Eine rechtsdogmatische und rechtspolitische Untersuchung Zürcher Beiträge zur Rechtswissenschaft Heft 410 Zürich Schulthess,12138HANS ULRICHHOMBERGERSchulthesa,chunk_4,
11646,1186.0,HOMBERGER,,Hornberger Henri Hornberger Henri Zum Rücktritt von Herrn Präsident Dr. Henri Hornberger aus dem Aufsichtsrat auf Ende 1976 Ansprache gehalten am 29. Oktober 1976 Hausblatt Rentenanstalt Nr. 155 Januar 1977 Sondernummer,HENRIHOMBERGERdernummei ,chunk_4,
11647,1187.0,HOMBERGER,93259,Hornberger Heinrich Hornberger Heinrich Schweizerische Handelspolitik im Zweiten Weltkrieg. Ein Überblick auf Grund persönlicher Erlebnisse. Erlenbach Zürich: Eugen Rentsch Verlag 1970. 8° 131 S.,"93259HEIRICHHOMBERGER°, 131 S. ",chunk_4,
11648,1188.0,HOMBERGER,91341,Hornberger Henri Hornberger Henri Schweizerische Handelspolitik im Wandel der Zeiten Eine Standortbestimmung Referat Schweizerische Zentrale für Handelsförderung Sitz Lausanne Abteilung Auslandforschung Spezialbericht Serie B Nr 69 La,91341HENRIHOMBERGERNr. 69. La,chunk_4,
11649,1189.0,HOMBERGER,94559,Hornberger Heinrich Hornberger Heinrich Die Entwicklung der europäischen Integration zum wirtschaftlichen Konflikt und die Lage der Schweiz SA aus Schweizer Monatshefte 41 Jahr Heft 1 April 1961 Zürich 1961 18,94559HEINRICHHOMBERGER     *	(18,chunk_4,
11650,1190.0,HOMBERGER,91171,"Hornberger Henri Hornberger, Henri. Die schweizerische Außenhandelspolitik und die Krise der Zahlungsbilanzen im Zeichen der internationalen Zusammenarbeit. Vortrag Erweiterter Separatabdruck auf der Zürcher Zeitung vom 57. Dezember 1953 Z",91171HENRIHOMBERGERer 1953. Z,chunk_4,
11651,1171.0,ROESNER,,"Roechner, Ernst A. Hübner Otto. Hubergeographisch-statistische Tabellen",ERNSTROESNERTabellen. ,chunk_7,
11652,1172.0,ROFFLER (MS/ZINF),88432,88 432 Roffler B MSZINF Stumpp Semmy Projektmanagement mit MS Project Projekte abwickeln die Software beherrschen Informationen strategisch schneller auswerten effektive Kommunikation für Teamarbeit München Markt,88432B.ROFFLER (MS/ZINF)n: Markt &,chunk_7,
11653,1173.0,ROGENMOSER (U3),86527,86527 Rogeninoser U. Helbling Carl Personalvorsorge und BVG 6A Bern Verlag Paul Haupt 1995 23 cm 88 S,86527ROGENMOSER (U3)cm.88? S. ,chunk_7,
11654,1174.0,ROGER,1404,Roger Augustin Roger Augustin et Alexandre Sorel Codes et lois usuelles classés par ordre alphabétique contenant la législation jusqu'à ce jour 37 Paris Garnier Fréres 1905 19,"1404AUGUSTINROGER	(19,...) ",chunk_7,
11655,1175.0,ROGET,83844,Roget PM Roget PM R1s international thesaurus 5th edition Ed by Robert L Chapman New York HarperCollins Publishers 1992 25cm A XXV1141 P 32709,"83844P.M.ROGET      ""	^ ",chunk_7,
11656,1176.0,ROGET,82770,"Roget, Peter Mark. Roget's International Thesaurus. Third Edition. London: Glasgow: Collins, 1969. 8° XXII, 1258 S.","82770PETER MAXROGET p, 11197 ",chunk_7,
11657,1177.0,ROGGEN,,Roggen Ronalds Luzern Stadt Luzerner Altstadt Eine bebilderte Quartiergeografie Schriftleitung RR1,RONALDROGGENng: R'R1. ,chunk_7,
